CaseOrder,Interaction,UID,Population,Area,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
11,89490f4b-765f-431a-b302-580aae7db71a,6271cceddef89e353881b8c38b5674b1,555,Urban,7,23,-0.6108914550769511,No,9.341631685,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,-0.5770772231059956,174.958118,-0.3036692559674181,4,4,4,7,3,3,3,4
12,c32b8522-d62a-49b1-a77a-e0534cb1378b,073356b840a6f10f65bebf6c9c168b3a,33372,Rural,2,56,-0.7612036701709215,No,6.68082638,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,-0.9078143071046398,149.962093,-1.012157858334297,4,4,3,4,4,4,3,4
13,4828f66e-5592-4c61-bbf4-313cf8731f1c,fe004e8605f165c2c59064fca86389d5,556,Rural,0,83,1.5555488005587546,No,8.273875452,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),-0.8136641324836795,137.439154,-1.0049277035553403,1,2,1,4,3,2,3,3
14,780992d3-d758-4152-aceb-5d59edda3d15,2a93472e2def0e9ea2ead2f8c15c80c9,0,Urban,5,29,2.670625225254079,No,5.880565591,14,1,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),-0.6673905557377415,184.971516,-0.6606519202176776,5,6,5,2,4,5,4,4
15,8dc7ad15-2f59-4c77-9640-6f2c0000b3fc,82e2317aca04b63397b31395029f50bf,8165,Urban,1,30,0.8670630510548126,Yes,11.79073041,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),-0.9252790723682481,159.965581,-0.8283261280844844,3,3,4,2,3,4,4,2
16,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,d43e8bc69c074903d9c618596562747e,2093,Suburban,3,39,1.746706795659964,Yes,10.79846973,13,1,0,No,One year,No,No,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,-0.7811957463028438,177.65076,-0.7103868401018525,3,3,3,2,4,3,5,2
17,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,c2b766b12c3780537d74b858ae602a93,50079,Urban,0,63,-0.28893823584972883,Yes,13.52284721,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),-0.7088806634846492,194.966286,-0.604966841184781,3,4,4,3,5,4,4,3
18,5c3548de-4744-4167-9412-3f018262bab2,66c10f561f108fd744c68c6c5b388c53,7249,Rural,2,60,0.15376286693651808,Yes,9.831166695,16,3,0,No,Two Year,No,No,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,-1.218636000354586,202.682861,-1.1487550410882605,2,2,4,3,3,4,3,3
19,200fad69-1e40-4de6-9222-df84d8925000,90c4427b652ec11afec04bd3c73c88d2,9463,Rural,3,61,-0.019319702896465674,No,9.57470568,11,1,0,Yes,Two Year,Yes,No,,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),-0.6586643495147995,152.490739,-0.7135525973023463,3,4,3,4,3,2,3,5
20,5ff2d3a8-6e9f-4bfa-af2b-04e5cdc0a1e0,34cb26f446dde7d77a6ecc5d7e106942,3177,Rural,3,23,-0.7203281013521748,Yes,10.92246098,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-0.8214296515667315,149.944668,-0.6581869982279508,5,5,5,4,4,4,3,3
21,ebf7fbd7-9f65-48d8-8f82-b7b7fd4f3412,21877fa7a1ff6e02e419246b1211b228,69,Rural,4,38,-0.006479661250661224,No,12.06889188,14,0,3,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),-0.5321993969828047,184.978458,-0.48601005518490786,2,3,3,2,4,2,3,3
22,69fbc82f-1ea2-47a2-a056-d6f8d428b687,994c0d689a45958a51dde0312f52258b,14440,Suburban,3,30,0.20949844252423616,No,6.984819996,18,1,0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),-1.2143752859646828,127.495766,-1.280548499448172,5,5,4,4,3,4,3,5
23,1937a759-91b7-4390-80f1-6f8e7d81e058,3bc3a28af4d353a18ab1173dabdc6496,381,Urban,3,52,-0.4384947371660538,No,9.372975594,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,-1.054162420093918,124.964303,-1.2261101571312558,3,3,3,2,2,3,5,5
24,ab3bfaf3-94f1-4a14-b577-0e57178a7645,adab17955634cf8ec0cd47d8d89c352c,2193,Urban,2,68,1.4147094275241294,No,7.109002592,9,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,-0.9826308773775781,149.948316,-1.1197956245812268,4,4,3,5,3,4,4,3
25,30a2f575-54cc-4894-96b8-358317896f43,c741e189e7837dca1ae8e031402b447d,9434,Rural,3,75,-0.40025547816570994,Yes,13.74777955,15,1,0,No,Month-to-month,No,Yes,,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),-1.0875153205165573,162.511928,-1.1539420665647315,3,3,4,2,4,4,3,4
26,44c6b2bd-74ee-4c80-9b9f-67b544d1e06a,6cab409a353f4b1e618308bb6383f4ae,29568,Suburban,1,77,-0.9662957364834148,Yes,9.767668044,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),-1.1485071989623208,92.455141,-1.1980894716016361,4,4,4,4,2,4,5,5
27,eba9d80f-e4e6-4905-81ab-5f5f2a49cc88,f7184e21cba24f672130af4181ace3fc,3089,Rural,1,47,-1.1009340719225875,Yes,15.8626095,15,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,-0.9122140515257888,222.649979,-0.8630365474292174,5,3,5,3,3,5,4,4
28,f4ba5aef-80af-43fe-a8cb-0592f3013d6b,8f35529b5d78c0c900635ceebf6b84cb,5652,Urban,0,70,0.1445393288591926,Yes,14.73616645,12,0,0,No,Month-to-month,Yes,No,,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,-1.25308568712767,139.981577,-1.360658197363495,2,2,3,4,4,2,2,2
29,a49a3cbf-182c-49f5-b15f-e124582d2c8f,1e083de4b0dfeed53263515c8b8b26eb,1716,Urban,3,20,-1.039927649841606,Yes,13.43558029,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),-1.2516498984328337,200.132293,-0.9760846270524461,3,4,3,3,2,4,4,2
30,cddc4b08-7aae-4194-a75c-28bbcc8257f3,82bbe8f8a091353aad86806f5fabc658,52484,Suburban,4,69,-0.22569056033152565,Yes,10.61771118,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.100544923191214,257.651257,-0.7538103880389817,4,4,4,3,2,5,5,4
31,79b827eb-46b9-4737-8484-0b670171bc4b,2024dab5fff54350716edea719cb3a9b,11268,Urban,9,45,0.1268369729922258,No,6.613070806,14,0,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),-0.8866023841903011,230.105118,-0.7307735469823262,3,2,1,5,3,3,3,2
32,5cffec4f-2316-4f97-b0d6-106888164492,e82cf64d7a0e5a2f0ef56b6dc68b08bb,1765,Rural,0,40,-0.6387943511129437,No,4.450171647,13,2,0,No,Two Year,No,Yes,,Yes,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,-1.1701197658139526,147.489301,-1.327056348209172,2,3,4,3,3,2,4,3
33,c7c6fcb5-eb79-438e-bf66-179ac491274e,f1641e36607077033891129802343682,680,Rural,6,82,0.43100095231891816,Yes,8.774646693,9,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,-1.1269605980785402,230.105118,-1.0883965188612057,4,4,4,5,2,5,3,5
34,a81aaffc-186f-46d1-8378-ad11bcedde9c,5377bc298c0d723478837a5d98bc738b,136,Rural,5,74,-0.49168656102826686,Yes,11.13156721,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,-0.515357688285214,174.958118,-0.325637960287283,5,5,4,3,5,3,4,1
35,fd1b0111-3d91-460d-b26b-d52008c383f8,6db59b17dc83e5b8af6d312100ea2965,1517,Urban,4,69,-1.0140727345967455,Yes,5.540788887,15,1,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,-1.1744634661179154,267.664655,-1.0573597060308366,6,5,5,5,2,6,5,5
36,c329889a-43ac-4d20-98f3-50d1c4c527fb,d8fc79b5e3193a0dd891a4b6afac838d,14103,Suburban,1,52,-1.1179186592837098,Yes,13.80362698,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,-1.098550980314668,162.483267,-0.9987162631662837,4,2,3,4,3,3,4,3
37,01fa4db5-6be5-47de-a3ac-53b95e5c44a8,f57314d251b601e0b1f18a432612c3ff,6394,Suburban,2,26,-1.05296770207896,Yes,16.31017089,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),-1.1804516554861881,229.993134,-1.1416648784921675,4,3,5,5,2,4,5,5
38,1659c53c-7045-445c-a222-08c53851aac1,cdcabd9f398e96aa39936f87adde7dc0,5059,Urban,1,25,-0.12687610775964053,No,9.447065309,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,-1.0349026237845231,140.00128,-0.9387813135210594,5,6,4,2,5,3,3,3
39,9d8f0590-1da6-4b6f-ab72-ef78c8aaac24,7d59e47c0a72bb47918543996d0990ba,20450,Suburban,1,66,-0.5110017682611331,No,16.84100845,12,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),-0.9333207387803955,184.964681,-1.0426335806062994,4,4,3,4,2,4,4,5
40,e8e28d51-c371-4a39-a81c-0c08d2f1f6ba,7e5b41b7d2ad340e17143f4066c3ab33,2123,Suburban,1,72,0.3734088954426154,No,7.972937227,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,-0.6990525517323531,147.473844,-0.8522085595627125,3,4,3,6,4,4,6,2
41,3c086e5c-e913-43b6-90d0-30b15b7cd37f,bc2290835aee9167c09294399ef208c9,1164,Urban,3,21,-0.0565830236912344,No,11.42906608,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,-0.9585756452581669,172.457857,-0.9528729024515141,5,2,3,3,3,5,4,4
42,282e3c6b-40f1-4460-8afa-7f2a1e88f06c,72d20b3d5284a2af94ec2f39fba29c39,23,Suburban,3,55,0.4638661678718479,No,8.06137096,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,-1.1921811278961985,107.481989,-1.1438136302193977,3,3,2,3,5,4,3,3
43,e677e4d4-13aa-4fde-a48e-e34b94f422cd,f8f47993d1fa402f133393f681022a3d,895,Suburban,4,41,-0.9859953612362096,Yes,12.54780492,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),-1.1573343176802533,255.141716,-1.0373304772544547,3,3,3,5,1,4,3,4
44,d542a248-4059-4008-a6fb-b7bc6e897a1c,cbbc7e4acd904ad82aff342295cad7a0,6699,Suburban,4,32,-0.5573453571350253,No,8.255565152,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,-0.6038404254573242,192.456745,-0.6295261730645956,3,3,3,3,4,3,3,4
45,7ac233f7-4a78-4b44-95cf-37cc5c87cc41,d5dce7dccb69ce4e7a244f4b9e2ec508,35743,Rural,0,22,-0.8748334462945169,Yes,13.156514,6,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),-0.9729992408161331,242.632554,-0.9059206478209695,4,4,4,4,3,4,3,4
46,79eb6124-9f8f-4329-90d1-903bd8bbb43d,2cf02d65e777660bee29aabf8338d7a0,320,Urban,2,44,0.519582593509311,Yes,10.58349704,5,1,0,No,Month-to-month,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,-0.9132841365325185,245.174977,-0.7695693630372736,3,3,2,2,4,3,5,2
47,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,e0f8186edebc6ed9650b5dce5496960d,7870,Suburban,2,23,3.27355644422271,Yes,12.50184778,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),-0.4639909371848937,184.964681,-0.4610389376855131,4,4,5,2,2,4,3,3
48,a7cae1b4-3c31-4037-8755-ac692dba6d4c,96b1ca7a9b1642d44b22ac0e05fc47ec,861,Suburban,3,43,-0.08684136360856051,Yes,9.750038902,11,1,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),-0.9492204971909545,195.006206,-0.9968953665672087,4,5,3,4,3,3,4,3
49,1df1db19-9bfc-407a-a72c-203fada5b5d3,0792f3196f67e1c2e518931ecba4ce51,15364,Rural,1,86,-0.4706904137174844,No,7.868660851,11,2,2,No,Two Year,Yes,No,,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),-1.0122593134363107,104.962874,-1.2137782923297118,3,4,3,2,3,3,3,3
50,7abea12e-f7b4-4e5a-be09-6f9fb061f923,3d5a7f23e552c62a0921e1fa051e015f,2589,Suburban,2,84,1.2987887499441337,No,12.43563329,14,0,1,No,Month-to-month,No,Yes,,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,-0.8682032012376165,92.488023,-1.141491117095143,3,3,4,3,5,3,3,4
51,6711579b-29d7-460e-bc34-10d4d1110a06,eba011bb46de58c6e2cea23d0097d290,4901,Urban,2,62,-1.2463268775733396,Yes,8.957166926,13,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),-1.179286103995116,184.979684,-1.0827246866446159,2,2,3,4,3,5,2,4
52,91dc4423-1f3b-4ff3-bb12-6da4c1deabe8,1b7ff908a8870766a8b463e23757aec4,39649,Urban,5,68,0.1423452410401909,Yes,8.015021713,12,1,0,No,Month-to-month,Yes,No,,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.028197013600445,187.656013,-0.987603634487446,2,3,3,5,4,2,3,2
53,e0ad6b64-9210-4998-aa82-05b6bc33873f,4cc1941f0eddeb8b3d2d94de19b2769c,456,Suburban,1,59,-0.050193323622902165,No,4.210347704,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,-1.0982504698011073,149.962093,-1.219561571144557,4,4,4,3,4,2,5,4
54,ccb06917-57e1-4595-94f7-4a54b1f0ec9d,7b4e1744bba082cf026b16878ed94b79,94,Urban,0,31,0.1535781053794307,Yes,11.13960534,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-1.2470210102072885,169.944668,-1.3451806654628662,4,4,3,4,4,4,2,3
55,d207e3a8-6ae6-4567-9b5a-7ae8d8530d0c,d2b5848d8ef49e1b6b68415e597d46e7,315,Urban,0,51,-0.9022561750593073,Yes,9.03738856,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,-0.84890345578031,160.00128,-0.9590338784769216,4,2,4,5,4,3,3,4
56,01051fb5-00df-4a7e-a284-b152a0b5ea47,3fc7c0a5a88aa3796474660502fbb05f,4969,Suburban,1,58,0.7997935313544056,No,10.91594785,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,-0.7767841860936733,129.962093,-0.7101059477125631,3,4,3,6,3,4,5,3
57,79c4473e-fd88-46bc-a276-e21783d598eb,019a544457407fa24e77f7dfa224f2f7,46869,Suburban,1,73,1.5188014645347383,Yes,8.387624096,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,-0.9440689105057617,114.950905,-0.9463779442668685,5,4,3,5,3,3,5,4
58,5ed9b266-29a0-489e-88e0-59f9a0b39e49,8518b3cdfe3bf58e2b262a154d64df01,58431,Rural,1,33,-0.8552465934710002,No,11.4487514,11,0,1,No,Two Year,No,No,,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,-1.0511123200381538,142.515576,-1.113956572196924,4,5,5,5,4,4,4,5
59,626e918e-7e34-4b0a-a92c-bd60db4b6173,0091e1705b9d932e9ff7aaacac8738f6,26182,Suburban,1,58,-0.8950199762639738,Yes,10.22013704,15,2,0,No,Two Year,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),-0.7112042140138669,220.14775,-0.6971845015002373,3,5,3,2,4,5,5,4
60,f16fa219-d489-4a93-b261-5dc4dc99e564,93c054f671b490bbe2c99b4c12337e92,694,Rural,0,49,-0.37588752109525925,No,8.425458142,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,-1.0321779935297548,124.97808,-1.2427450832676,5,5,3,4,4,5,5,4
61,97f617e1-f6f2-49c3-b317-542d7bb05d1c,97f71f48649e7ee23765f054867265a4,3093,Suburban,1,26,0.5501108058737456,No,8.386280619,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,-1.1971666963493675,164.964681,-1.0549910532099382,5,5,4,4,3,4,4,4
62,176d7713-b919-41c3-badf-676dc1abbf07,5b5794d3dbb6f9fed1f9205863915cbf,2765,Urban,1,25,1.490311657986309,No,9.565924291,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,-1.217064843981979,194.976769,-1.2299127028999968,3,4,3,2,3,4,2,4
63,d73797a9-ae43-4fe0-8f43-c7db6456eee8,4025058646046e514a7c7e4e6202226e,3757,Rural,0,42,2.1373374105600256,Yes,10.79349982,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,-1.004687944054223,152.455519,-0.9042238189449593,5,5,5,4,3,2,4,4
64,9b56af1d-ccae-418c-a7e3-f1bc3964d09c,2c8f07dff8efc7ab26276074824df9c7,4938,Rural,1,81,1.0695149066331104,No,6.081975067,15,0,0,No,Month-to-month,No,Yes,,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,-0.8424395136518485,92.5018,-1.0508905657906205,5,5,5,3,4,3,2,5
65,7a1d7d58-f80c-47a6-933b-cf5e77d057a7,ceaf5a70e8500cb64025ddddebab1fab,3761,Suburban,1,43,-0.17459210973512257,No,13.55065547,13,0,0,Yes,Month-to-month,No,Yes,,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,-0.9413617104198202,127.488728,-1.0565378508930574,4,4,4,3,4,4,3,3
66,65a865fb-9376-4428-b1ee-0049a7c55176,1d0e697f5bc6a63125b54fd3d61bbd99,1851,Urban,2,63,0.2066518378817395,No,9.470419821,14,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),-1.0063503593212735,184.963371,-0.8336592668715122,3,4,3,3,4,4,4,3
67,71895f94-c853-4e94-85ef-3fab52301614,306759d64ba79dfc8b2134c0c716f2bd,38476,Suburban,3,70,-1.0228270988928299,Yes,6.194985909,11,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),-1.136647339560296,265.146969,-1.0914020361249135,3,3,2,4,4,3,3,3
68,941c7516-20c5-47d4-a063-5f3dc7bfc47a,ee5479f4dca3d8278204dd1897e44553,13547,Urban,1,78,-0.6185308667137595,Yes,10.80393657,19,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Bank Transfer(automatic),-0.897668116819726,207.609354,-0.9469736323443295,4,4,3,6,2,5,7,4
69,df3742f5-e551-4ecc-90fe-eea710b6d9fc,5c597d4d20168d90ddf8f5abf63c999d,7801,Urban,0,48,0.45497704466656336,No,7.903964267,17,0,1,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,-0.8427690800818175,152.462354,-0.7247032039911849,3,1,2,2,5,2,2,1
70,14e03b7a-04b1-4dae-8c20-41ad7e3f69b1,46bd163d500568caa0e2de057b8ef4e3,17823,Suburban,1,63,-0.7361665287276801,Yes,11.27443693,18,2,1,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.222397924809372,200.132293,-1.0397744216209008,4,4,4,5,4,4,4,3
71,eeeb8da7-926a-44a7-8d86-68f1eecc7055,fffe3f210b76a8d6e7a1ec383b766260,20269,Urban,4,60,0.10560464296163487,Yes,6.129509309,12,0,0,No,One year,Yes,Yes,,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Electronic Check,-0.40106534597502425,212.655686,-0.32745582419199754,5,5,6,5,3,7,5,5
72,819fd181-eecf-497c-a453-ada4517d9c06,f858b8ce89fb8cf960dabc54d3561c12,30225,Rural,0,87,1.3543253788264276,Yes,7.969277912,17,0,0,Yes,One year,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),-1.1646362483309787,255.119794,-0.9721163526597876,3,3,4,5,4,3,5,4
73,2456727b-d909-43a0-9f62-d2e57c9ef757,8969d2ad6edcb6f6b3c03903bbf6f842,5760,Suburban,3,54,0.27307734125610467,No,4.368120492,9,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),-1.0039495234861058,134.950905,-1.175947892399839,2,3,3,3,5,2,2,3
74,867d0b20-ffdd-478b-b5e8-ad80ca7ff50e,fea9671289fa6d8794f72bf3c1b3e55b,61,Urban,3,35,-1.1377268004212815,Yes,6.258356398,9,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,-0.9581887685311218,255.137219,-0.8303303660906955,4,3,2,3,3,3,3,4
